x	y
0	0.275083497
0.2	1.687071476
0.4	1.931868678
0.6	3.147001537
0.8	2.981241077
1	3.924132587
1.2	3.591645447
1.4	5.337492545
1.6	5.042086225
1.8	5.761782914
2	5.911101721
2.2	6.714975941
2.4	7.103748149
2.6	7.707990635
2.8	7.842701184
3	7.363049561
3.2	8.723846227
3.4	7.850461459
3.6	8.413940067
3.8	8.866572906
4	9.046331305
4.2	9.698971497
4.4	9.859342326
4.6	9.87961114
4.8	10.08470134
5	9.268518247
5.2	9.642376511
5.4	9.940196509
5.6	10.19600643
5.8	10.12730151
6	10.26633116
6.2	11.24458701
6.4	10.81817401
6.6	9.949843266
6.8	10.31894335
7	10.08966893
7.2	10.86911246
7.4	10.24590802
7.6	10.15467752
7.8	11.21561015
8	10.37179344
8.2	11.15102825
8.4	10.37349974
8.6	10.01869468
8.8	10.55171939
9	9.927828062
9.2	10.63883172
9.4	10.68477761
9.6	10.01001881
9.8	9.62244985
10	10.62262135
10.2	10.01579987
10.4	10.47195448
10.6	9.395466403
10.8	9.549246022
11	10.01848396
11.2	9.729891491
11.4	8.862945231
11.6	9.790875619
11.8	9.52594778
12	9.073163457
12.2	9.559440117
12.4	8.884959675
12.6	9.490098037
12.8	10.11366471
13	9.017208795
13.2	10.02939884
13.4	10.00964361
13.6	8.755375563
13.8	10.23076422
14	9.312691322
14.2	10.36126139
14.4	9.288554035
14.6	9.71218691
14.8	10.28846049
15	9.564590561
15.2	10.83418495
15.4	10.18751368
15.6	10.91560206
15.8	10.70600448
16	10.31914686
16.2	11.42650815
16.4	11.67782107
16.6	11.05585259
16.8	11.78104219
17	12.268493
17.2	11.7184855
17.4	13.41119342
17.6	12.38950697
17.8	12.80584634
18	13.55808848
18.2	13.89401048
18.4	15.12230926
18.6	15.06359587
18.8	16.41910238
19	15.75572834
19.2	16.98323895
19.4	17.04584136
19.6	18.08198571
19.8	18.036325
20	19.50599481
